establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web
15020072319263,RESIDENCIA SAN ALBERTO,2007010001,FLORES,2,CABA,7,COMUNA 7,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1406,FELIPE VALLESE 2457,
15020052319270,IGM 336 S.A,2005010001,ALMAGRO,2,CABA,5,COMUNA 5,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1206,AGUSTIN MAZA 336,
50700982378436,C.P.A. CONSULTORIO ODONTOLOGICO GOMEZ PUCHE,70098010001,ALTO DE SIERRA,70,SAN JUAN,98,SANTA LUCÍA,10,1.0,Privado,50,ESSDIT,Con atención médica diaria y con especialidades y/o otras profesiones,5438,AVENIDA LIBERTADOR GENERAL SAN MARTIN ESTE 1521,
51660282374534,LABAC-LABORATORIO DE BIOLOGIA MOLECULAR,66028050000,SALTA,66,SALTA,28,CAPITAL,50,0.0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,4400,Del Milagro 378,
52500702361344,RECREAR - ESPACIO TERAPEUTICO.-,50070060004,MAIPU,50,MENDOZA,70,MAIPÚ,60,4.0,Privado,52,ESSIT,Centro de salud mental,5517,JOSÉ MANUEL ESTRADA 33,
51068612319360,CENTRO DE DIAGNOSTICO POR IMAGENES CIDIM S.R.L.,6861010005,MUNRO,6,BUENOS AIRES,861,VICENTE LÓPEZ,10,5.0,Privado,51,ESSID,Diagnostico por Imágenes,1605,Vélez Sarsfield N° 5992,
15020052319363,CASTRO BARROS SENIOR SRL,2005010001,ALMAGRO,2,CABA,5,COMUNA 5,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1178,CASTRO BARROS 93,
15020022319234,GERIALEPH,2002010001,RECOLETA,2,CABA,2,COMUNA 2,10,1.0,Privado,15,ESCIETE,Mediano riesgo con internación con cuidados especiales,1124,ARENALES 2445,
15500842161308,HOGAR SAN ISIDRO LABRADOR.-,50084140000,RIVADAVIA,50,MENDOZA,84,RIVADAVIA,140,0.0,Provincial,15,ESCIETE,Bajo riesgo con internación simple,5577,ALMIRANTE BROWN 517,www.salud.mendoza.gov.ar
52940072395477,GABINETE DE PSICOLOGIA ARIEL JUAN BIANCONI,94007010000,RIO GRANDE,94,TIERRA DEL FUEGO,7,RÍO GRANDE,10,0.0,Privado,52,ESSIT,Centro de salud mental,9420,"BELGRANO 711, PISO 4, DPTO 2",
